Age,Salary,Department,Region,Remote_Work,Performance_Score_Ordinal,Tenure_Years,Join_Year,Join_Month,Join_Quarter,Age_Was_Missing,Salary_Was_Missing,Attrition_Flag
35.0,85417.26,Finance,Nevada,True,3,4.607802874743326,2020,5,2,True,False,1
40.0,112410.25,Cloud Tech,Florida,True,3,1.431895961670089,2023,7,3,False,False,1
40.0,68905.77,Admin,Nevada,False,2,1.3470225872689938,2023,8,3,False,False,0
40.0,72561.32,Finance,Nevada,True,4,3.490759753593429,2021,7,3,False,False,0
35.0,92723.22,Finance,New York,True,4,1.7987679671457906,2023,3,1,False,False,1
40.0,74837.75,HR,New York,False,1,3.805612594113621,2021,3,1,False,False,1
32.5,86163.91,DevOps,California,True,2,4.939082819986311,2020,1,1,True,False,0
40.0,83326.52,Finance,Illinois,True,2,1.1225188227241616,2023,11,4,False,False,0
25.0,98425.1,Cloud Tech,California,True,2,2.726899383983573,2022,4,2,False,False,0
40.0,119764.2,Sales,Illinois,False,2,2.6091718001368926,2022,5,2,False,False,1
40.0,58445.91,HR,California,False,4,3.701574264202601,2021,4,2,False,False,1
32.5,101702.33,DevOps,New York,False,4,3.780971937029432,2021,3,1,True,False,0
25.0,87358.27,Admin,California,False,3,2.97056810403833,2022,1,1,False,True,0
35.0,98819.22,Cloud Tech,Texas,False,3,3.356605065023956,2021,8,3,False,False,0
25.0,83509.99,Cloud Tech,Illinois,False,2,2.3627652292950034,2022,8,3,False,False,1
35.0,84422.26,Finance,Texas,False,2,2.74880219028063,2022,3,1,False,False,0
30.0,119574.27,Admin,Illinois,True,2,4.517453798767967,2020,6,2,False,False,1
30.0,86580.08,Sales,Illinois,True,3,0.6461327857631759,2024,5,2,True,False,0
35.0,93471.91,Sales,Florida,False,1,1.8069815195071868,2023,3,1,False,False,1
30.0,55683.12,DevOps,New York,True,1,1.2922655715263518,2023,9,3,False,False,1
30.0,91566.78,Cloud Tech,Florida,True,3,1.1307323750855578,2023,11,4,False,False,1
35.0,81782.19,DevOps,California,False,3,0.17522245037645448,2024,10,4,False,False,0
32.5,88119.37,DevOps,New York,True,3,4.350444900752909,2020,8,3,True,False,1
30.0,71532.83,Cloud Tech,Texas,True,3,0.5503080082135524,2024,6,2,False,False,0
40.0,98981.36,Cloud Tech,Florida,True,3,3.2908966461327855,2021,9,3,False,False,0
40.0,80242.01,Cloud Tech,Illinois,True,3,0.008213552361396304,2024,12,4,False,False,0
25.0,110236.18,Cloud Tech,New York,True,2,0.3066392881587953,2024,9,3,False,False,0
35.0,86327.47,Sales,Texas,False,2,2.3572895277207393,2022,8,3,False,False,0
30.0,84420.81,Sales,Florida,False,2,0.42984257357973993,2024,7,3,False,False,0
40.0,110041.32,HR,California,False,2,4.407939767282683,2020,8,3,False,False,0
35.0,81837.81,DevOps,Florida,True,3,4.788501026694045,2020,3,1,False,False,0
25.0,110855.72,Finance,Illinois,False,1,1.3086926762491444,2023,9,3,False,False,0
30.0,84894.52,Sales,California,True,4,0.7529089664613279,2024,3,1,False,False,0
30.0,80668.13,HR,Illinois,True,3,3.381245722108145,2021,8,3,False,False,0
25.0,61086.47,DevOps,Illinois,True,4,1.0157426420260096,2023,12,4,False,False,0
25.0,95339.68,Admin,Texas,True,1,4.336755646817249,2020,8,3,False,False,1
32.5,83774.97,DevOps,California,False,2,0.31485284052019163,2024,9,3,True,False,1
30.0,85576.86,Admin,Florida,False,1,1.6344969199178645,2023,5,2,True,False,0
35.0,107438.46,Finance,California,True,3,3.4962354551676933,2021,7,3,False,False,0
30.0,60401.68,Sales,Nevada,False,2,0.14236824093086928,2024,11,4,True,False,1
35.0,115299.66,Sales,Illinois,True,3,2.4421629021218343,2022,7,3,False,False,1
35.0,72272.34,Finance,New York,False,2,4.7501711156741955,2020,3,1,True,False,1
40.0,117537.71,DevOps,Nevada,False,4,2.217659137577002,2022,10,4,False,False,0
25.0,51074.33,Finance,Texas,True,4,2.433949349760438,2022,7,3,False,False,0
25.0,98489.32,Finance,California,False,4,1.5003422313483916,2023,6,2,False,False,1
35.0,112120.71,Finance,California,True,1,0.9664613278576317,2024,1,1,True,False,0
30.0,114465.04,Cloud Tech,New York,False,3,1.158110882956879,2023,11,4,True,False,0
40.0,57035.51,Cloud Tech,Nevada,True,1,0.10130047912388775,2024,11,4,False,False,0
25.0,75092.43,Cloud Tech,California,True,4,3.351129363449692,2021,8,3,False,False,0
35.0,62603.98,Finance,Illinois,False,3,0.5503080082135524,2024,6,2,True,False,0
32.5,60018.24,DevOps,New York,False,4,1.7248459958932238,2023,4,2,True,False,1
40.0,82567.73,HR,Nevada,True,1,0.48459958932238195,2024,7,3,False,False,0
25.0,94725.71,Finance,California,False,1,3.3182751540041067,2021,9,3,False,False,0
40.0,83824.56,HR,New York,False,1,0.2108145106091718,2024,10,4,False,False,1
30.0,118456.11,HR,Nevada,True,4,4.87337440109514,2020,2,1,True,False,1
25.0,113743.19,Sales,Nevada,True,3,4.720054757015743,2020,4,2,False,False,0
30.0,63309.24,Sales,California,False,3,1.4264202600958247,2023,7,3,False,False,0
25.0,105202.73,DevOps,Nevada,True,4,3.263518138261465,2021,9,3,False,False,0
30.0,79085.22,Cloud Tech,California,True,3,0.8049281314168378,2024,3,1,False,False,1
30.0,113983.43,Sales,California,True,4,3.5537303216974676,2021,6,2,True,False,0
35.0,102790.6,Cloud Tech,Florida,False,3,4.205338809034908,2020,10,4,False,False,0
30.0,68512.1,HR,Texas,False,2,4.917180013689254,2020,1,1,True,False,1
35.0,57584.23,Sales,Florida,True,2,2.9130732375085557,2022,1,1,False,False,0
30.0,95335.67,Sales,California,False,1,3.753593429158111,2021,3,1,True,False,0
35.0,53174.28,DevOps,Florida,True,2,4.210814510609172,2020,10,4,False,False,0
25.0,77205.21,Cloud Tech,New York,False,2,4.2354551676933605,2020,10,4,False,False,0
32.5,79041.92,DevOps,Nevada,True,2,0.030116358658453114,2024,12,4,True,False,0
35.0,75937.1,Finance,California,True,4,1.1252566735112937,2023,11,4,True,False,0
35.0,113118.73,Cloud Tech,Nevada,False,2,1.9411362080766599,2023,1,1,False,False,1
40.0,107693.38,HR,New York,True,2,0.24093086926762491,2024,10,4,False,False,0
30.0,119217.46,Cloud Tech,Texas,False,1,3.6303901437371664,2021,5,2,True,False,1
25.0,106913.71,Sales,New York,False,2,3.783709787816564,2021,3,1,False,False,0
30.0,87815.08,Cloud Tech,California,True,2,4.265571526351814,2020,9,3,True,False,0
25.0,105190.21,Admin,Texas,True,3,0.5667351129363449,2024,6,2,False,False,1
30.0,79467.24,HR,Texas,False,1,0.8350444900752909,2024,2,1,False,False,0
40.0,57633.78,Finance,California,True,1,1.6673511293634498,2023,4,2,False,False,0
30.0,54257.78,HR,Florida,True,1,4.82135523613963,2020,3,1,True,False,0
40.0,113679.06,DevOps,Texas,True,1,1.002053388090349,2023,12,4,False,False,1
35.0,69251.12,Sales,New York,True,1,4.287474332648871,2020,9,3,False,False,0
40.0,85388.58,Sales,Illinois,True,1,2.4503764544832305,2022,7,3,False,False,1
32.5,112166.37,DevOps,New York,False,4,2.4640657084188913,2022,7,3,True,False,1
40.0,79873.48,Finance,Nevada,False,2,3.241615331964408,2021,10,4,False,False,0
30.0,108224.03,DevOps,Florida,True,1,4.484599589322382,2020,7,3,False,False,0
35.0,116963.72,Admin,Illinois,True,2,1.7056810403832992,2023,4,2,False,False,0
40.0,114109.06,HR,Nevada,True,2,0.12867898699520877,2024,11,4,False,False,1
30.0,85518.88,HR,California,False,4,1.754962354551677,2023,3,1,True,False,0
30.0,58041.97,Cloud Tech,California,True,1,2.9349760438056127,2022,1,1,False,False,0
40.0,94988.94,Sales,Illinois,False,3,1.2101300479123889,2023,10,4,False,False,0
25.0,71628.93,Admin,California,False,4,0.7200547570157426,2024,4,2,False,False,0
30.0,54870.98,Admin,Illinois,False,3,2.74880219028063,2022,3,1,False,False,0
25.0,79388.27,DevOps,Illinois,True,2,2.8856947296372346,2022,2,1,False,False,0
35.0,55946.99,DevOps,California,False,2,1.6509240246406571,2023,5,2,False,False,0
30.0,81017.91,Cloud Tech,Nevada,True,4,3.468856947296372,2021,7,3,True,False,0
40.0,74162.1,HR,New York,False,4,4.355920602327173,2020,8,3,False,False,0
32.5,77668.44,DevOps,California,True,3,3.759069130732375,2021,3,1,True,False,0
30.0,67886.37,HR,New York,False,1,0.7091033538672142,2024,4,2,False,False,0
40.0,76614.52,DevOps,Florida,True,3,4.271047227926078,2020,9,3,False,False,0
25.0,51311.91,Finance,Nevada,False,4,2.5489390828199863,2022,6,2,False,False,0
35.0,94809.92,Finance,Illinois,True,3,1.0157426420260096,2023,12,4,True,False,1
25.0,108241.81,HR,New York,True,4,2.414784394250513,2022,7,3,False,False,0
40.0,78031.49,Cloud Tech,New York,True,3,1.6919917864476386,2023,4,2,False,False,1
35.0,85733.83,Admin,California,True,4,4.566735112936345,2020,6,2,False,False,0
35.0,60338.29,HR,Nevada,False,4,0.4243668720054757,2024,7,3,False,False,0
30.0,103140.67,Admin,Illinois,False,4,0.7337440109514032,2024,4,2,False,False,0
40.0,114690.8,Sales,Illinois,True,1,1.1772758384668036,2023,10,4,False,False,1
35.0,80954.56,Admin,Florida,False,3,2.3655030800821355,2022,8,3,False,False,0
30.0,71728.55,Cloud Tech,California,True,3,4.5804243668720055,2020,5,2,True,False,0
35.0,118415.8,HR,Texas,True,3,0.15058179329226556,2024,11,4,False,False,0
40.0,81481.36,Sales,Illinois,False,4,4.763860369609857,2020,3,1,False,False,0
35.0,117040.57,Sales,Florida,True,3,4.1505817932922655,2020,11,4,False,False,0
25.0,67342.06,Sales,Nevada,True,3,4.774811772758385,2020,3,1,False,False,0
30.0,76099.64,Sales,Illinois,False,4,2.954140999315537,2022,1,1,True,False,0
35.0,94162.06,DevOps,Illinois,True,2,0.5694729637234771,2024,6,2,False,False,0
25.0,67639.7,Sales,Nevada,True,4,3.403148528405202,2021,8,3,False,False,1
35.0,114172.25,Cloud Tech,Illinois,True,3,4.202600958247776,2020,10,4,False,False,0
30.0,89124.54,Sales,Nevada,True,4,3.2580424366872007,2021,9,3,False,False,0
30.0,113871.36,DevOps,Nevada,False,2,1.1526351813826146,2023,11,4,False,False,0
30.0,62618.4,HR,Texas,False,4,3.263518138261465,2021,9,3,True,False,1
30.0,70705.45,Admin,New York,False,3,4.561259411362081,2020,6,2,False,False,0
35.0,60797.69,Sales,New York,True,2,2.8829568788501025,2022,2,1,False,False,0
40.0,100371.0,Cloud Tech,Florida,True,1,1.2019164955509924,2023,10,4,False,False,1
40.0,117591.76,Admin,Illinois,False,3,3.260780287474333,2021,9,3,False,False,0
35.0,103860.7,DevOps,Illinois,True,2,2.406570841889117,2022,8,3,False,False,1
30.0,67500.22,Admin,Illinois,True,2,0.10130047912388775,2024,11,4,False,False,0
30.0,58727.44,Cloud Tech,Nevada,True,1,0.22176591375770022,2024,10,4,True,False,0
35.0,80623.08,Finance,Illinois,True,4,0.33675564681724846,2024,8,3,False,False,0
40.0,77751.78,HR,Texas,False,4,4.695414099931554,2020,4,2,False,False,1
25.0,115157.81,HR,New York,False,3,3.2087611225188226,2021,10,4,False,False,0
30.0,83071.85,Admin,Texas,False,1,0.34223134839151265,2024,8,3,False,False,1
40.0,67914.67,Sales,Texas,True,4,4.889801505817933,2020,2,1,False,False,0
25.0,53342.46,HR,New York,False,1,4.312114989733059,2020,9,3,False,False,1
25.0,51150.47,Cloud Tech,Florida,False,4,1.9904175222450375,2023,1,1,False,False,0
30.0,74697.12,HR,Florida,True,2,1.5468856947296372,2023,6,2,False,False,0
25.0,88085.74,Sales,California,True,4,2.0451745379876796,2022,12,4,False,False,0
40.0,118672.76,Finance,Texas,False,1,2.8254620123203287,2022,3,1,False,False,0
35.0,95997.31,Cloud Tech,California,False,2,0.8843258042436687,2024,2,1,False,False,0
30.0,106945.62,Cloud Tech,California,False,2,3.0965092402464065,2021,11,4,False,False,0
40.0,100123.15,DevOps,New York,False,2,4.640657084188912,2020,5,2,False,False,0
35.0,52933.42,Admin,Texas,True,1,0.02737850787132101,2024,12,4,False,False,0
35.0,95283.03,Finance,California,False,3,0.7720739219712526,2024,3,1,True,False,0
35.0,112264.06,HR,Texas,False,3,2.546201232032854,2022,6,2,False,False,1
35.0,75714.28,Admin,Florida,True,3,2.206707734428474,2022,10,4,False,False,0
25.0,92171.73,DevOps,Florida,False,1,2.5817932922655715,2022,5,2,False,False,0
35.0,70694.8,Cloud Tech,Texas,True,2,1.2895277207392197,2023,9,3,False,False,1
30.0,52964.86,DevOps,Florida,True,3,2.48870636550308,2022,7,3,False,False,1
35.0,116353.31,Finance,California,True,1,0.5585215605749486,2024,6,2,True,False,0
35.0,116695.26,Sales,Nevada,False,3,4.098562628336755,2020,11,4,False,False,0
25.0,95161.4,Admin,Texas,False,4,0.6297056810403833,2024,5,2,False,False,0
30.0,76040.94,Admin,Nevada,True,3,2.915811088295688,2022,1,1,True,False,1
30.0,69508.28,HR,Florida,False,3,1.352498288843258,2023,8,3,True,False,1
30.0,58243.27,Finance,Illinois,False,2,1.8453114305270362,2023,2,1,False,False,1
30.0,64012.48,Sales,California,True,1,2.242299794661191,2022,10,4,False,False,0
40.0,106735.93,Admin,Nevada,True,2,4.503764544832307,2020,6,2,False,False,1
35.0,70325.36,DevOps,Texas,False,2,1.9548254620123204,2023,1,1,False,False,0
30.0,118959.28,HR,Illinois,True,2,4.314852840520191,2020,9,3,False,False,0
40.0,75823.78,Cloud Tech,California,False,2,1.78507871321013,2023,3,1,False,False,0
30.0,119971.65,Cloud Tech,Texas,False,2,2.7624914442162902,2022,3,1,True,False,1
40.0,94963.7,Sales,Texas,False,3,3.216974674880219,2021,10,4,False,False,0
30.0,103744.71,Sales,Nevada,False,2,3.975359342915811,2021,1,1,False,False,0
25.0,61337.69,Sales,New York,True,2,4.071184120465435,2020,12,4,False,False,1
35.0,63741.13,Sales,California,True,1,3.589322381930185,2021,5,2,False,False,0
30.0,56539.99,DevOps,California,True,4,2.004106776180698,2022,12,4,False,False,0
30.0,73633.37,DevOps,Illinois,True,3,1.6016427104722792,2023,5,2,False,False,0
25.0,90373.99,Cloud Tech,Texas,False,3,0.6707734428473648,2024,4,2,False,False,0
32.5,93901.48,DevOps,Texas,False,3,0.010951403148528405,2024,12,4,True,False,1
40.0,81748.09,Admin,Nevada,True,2,3.326488706365503,2021,9,3,False,False,1
40.0,73813.48,Finance,Florida,False,2,3.8521560574948666,2021,2,1,False,False,1
35.0,89315.59,Finance,New York,False,2,2.108145106091718,2022,11,4,False,False,1
25.0,56776.82,HR,Florida,False,1,4.205338809034908,2020,10,4,False,False,0
35.0,72920.51,Finance,New York,True,4,0.432580424366872,2024,7,3,True,False,0
30.0,84913.18,Admin,Florida,True,2,2.3764544832306638,2022,8,3,False,False,0
25.0,65060.11,Finance,Illinois,True,4,3.6440793976728267,2021,5,2,False,False,1
35.0,82941.08,Finance,Illinois,False,1,1.2238193018480492,2023,10,4,False,False,0
40.0,103469.97,Admin,California,True,3,2.943189596167009,2022,1,1,False,False,0
25.0,88725.6,Sales,Illinois,True,2,2.9623545516769334,2022,1,1,False,False,0
30.0,58316.77,HR,Illinois,True,4,1.568788501026694,2023,6,2,True,False,0
35.0,60098.72,HR,Illinois,True,4,0.7611225188227242,2024,3,1,False,False,1
30.0,99951.43,Cloud Tech,Texas,True,2,4.227241615331964,2020,10,4,True,False,0
30.0,115195.81,Sales,Illinois,True,3,3.156741957563313,2021,11,4,False,False,0
32.5,85512.05,DevOps,California,False,3,3.1101984941820673,2021,11,4,True,False,0
30.0,73186.77,HR,Florida,False,3,2.9295003422313486,2022,1,1,True,False,0
30.0,51865.3,HR,Nevada,True,1,1.4674880219028064,2023,7,3,True,False,0
25.0,94031.77,Sales,Florida,True,4,2.0561259411362083,2022,12,4,False,False,0
30.0,116374.36,DevOps,New York,False,4,1.78507871321013,2023,3,1,False,False,0
40.0,98335.02,HR,Florida,False,4,2.6803559206023273,2022,4,2,False,False,0
25.0,89262.07,DevOps,New York,True,1,3.8329911019849416,2021,2,1,False,False,0
35.0,113848.69,Finance,California,True,4,2.4175222450376452,2022,7,3,True,False,0
35.0,69530.45,Sales,Florida,True,1,3.6139630390143735,2021,5,2,False,False,0
35.0,84230.22,DevOps,New York,True,3,1.0431211498973305,2023,12,4,False,False,0
35.0,76578.59,Cloud Tech,Illinois,False,2,1.949349760438056,2023,1,1,False,False,0
30.0,55532.06,HR,Texas,True,4,0.9911019849418207,2024,1,1,False,False,1
40.0,115311.68,Admin,New York,True,4,3.4743326488706368,2021,7,3,False,False,0
25.0,66972.06,Sales,Nevada,True,3,3.652292950034223,2021,5,2,False,False,0
30.0,100215.06,Cloud Tech,Texas,True,2,3.143052703627652,2021,11,4,False,False,1
25.0,115452.25,Sales,New York,False,1,1.3333333333333333,2023,8,3,False,False,1
30.0,54141.38,HR,California,False,2,1.374401095140315,2023,8,3,False,False,1
32.5,79251.95,DevOps,Nevada,False,3,4.01368925393566,2020,12,4,True,False,0
40.0,114822.78,Finance,New York,True,3,0.10403832991101986,2024,11,4,False,False,0
35.0,69919.32,Sales,Illinois,True,2,3.1156741957563314,2021,11,4,False,False,0
30.0,106616.97,Sales,Florida,False,1,3.915126625598905,2021,1,1,False,False,1
35.0,73597.85,DevOps,New York,True,1,0.865160848733744,2024,2,1,False,False,0
30.0,79939.23,Sales,Nevada,True,4,0.3586584531143053,2024,8,3,False,False,1
25.0,87358.27,Admin,New York,False,1,3.1813826146475015,2021,10,4,False,True,1
30.0,90772.25,Finance,California,False,2,3.3018480492813143,2021,9,3,False,False,1
35.0,58275.74,DevOps,New York,False,3,1.2511978097193703,2023,9,3,False,False,0
32.5,94709.79,DevOps,California,False,4,4.336755646817249,2020,8,3,True,False,0
30.0,60722.99,Admin,New York,True,4,2.3134839151266258,2022,9,3,True,False,0
40.0,87626.24,DevOps,Illinois,True,3,0.7474332648870636,2024,3,1,False,False,1
30.0,81272.36,DevOps,Illinois,False,1,2.0479123887748116,2022,12,4,False,False,0
30.0,64150.97,Cloud Tech,Texas,True,3,2.1601642710472277,2022,11,4,True,False,0
35.0,64378.1,Sales,Florida,False,1,1.1800136892539357,2023,10,4,False,False,0
35.0,85927.35,Finance,Texas,False,3,4.254620123203286,2020,9,3,True,False,1
35.0,51523.93,Finance,Nevada,True,2,0.9390828199863107,2024,1,1,True,False,1
30.0,74117.02,Sales,Texas,False,1,2.620123203285421,2022,5,2,False,False,0
25.0,62598.69,Finance,Texas,True,2,2.702258726899384,2022,4,2,False,False,1
35.0,55617.5,Finance,Florida,True,4,2.8884325804243667,2022,2,1,False,False,1
35.0,87018.98,Cloud Tech,New York,True,3,2.7926078028747434,2022,3,1,False,False,0
25.0,100336.58,Cloud Tech,California,True,4,1.218343600273785,2023,10,4,False,False,1
30.0,69295.48,Admin,Florida,False,4,4.125941136208077,2020,11,4,False,False,1
25.0,115536.66,DevOps,Florida,True,4,0.7008898015058179,2024,4,2,False,False,0
30.0,81250.87,Cloud Tech,Texas,False,4,4.80766598220397,2020,3,1,False,False,0
30.0,66403.75,DevOps,Texas,False,3,2.535249828884326,2022,6,2,False,False,1
30.0,114147.79,Sales,California,False,4,0.4216290212183436,2024,7,3,False,False,0
30.0,65472.99,HR,New York,False,3,2.0725530458590007,2022,12,4,False,False,0
30.0,97512.51,Sales,Nevada,True,3,1.483915126625599,2023,7,3,True,False,0
35.0,86712.41,DevOps,Nevada,True,2,0.5886379192334018,2024,5,2,False,False,1
30.0,87654.98,HR,Florida,False,1,0.7638603696098563,2024,3,1,False,False,0
35.0,89367.02,DevOps,New York,False,1,4.670773442847365,2020,4,2,False,False,1
40.0,95269.41,Admin,California,True,3,3.143052703627652,2021,11,4,False,False,0
25.0,68792.31,Sales,Nevada,False,2,4.706365503080082,2020,4,2,False,False,0
25.0,89119.53,Admin,Illinois,True,3,1.2292950034223136,2023,10,4,False,False,0
35.0,58212.13,Cloud Tech,New York,False,3,0.837782340862423,2024,2,1,False,False,0
30.0,77764.24,DevOps,Illinois,True,3,3.8494182067077345,2021,2,1,False,False,0
35.0,75148.17,Finance,Florida,False,2,1.3579739904175223,2023,8,3,False,False,0
